Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	48	8.872458410351202	4.235866543388416E-29	ENSMUSG00000004296, ENSMUSG00000033355, ENSMUSG00000032661, ENSMUSG00000012519, ENSMUSG00000025498, ENSMUSG00000027995, ENSMUSG00000027951, ENSMUSG00000026104, ENSMUSG00000029417, ENSMUSG00000066677, ENSMUSG00000049502, ENSMUSG00000065968, ENSMUSG00000027514, ENSMUSG00000022126, ENSMUSG00000020641, ENSMUSG00000045932, ENSMUSG00000070501, ENSMUSG00000035692, ENSMUSG00000052776, ENSMUSG00000022906, ENSMUSG00000039236, ENSMUSG00000036986, ENSMUSG00000034855, ENSMUSG00000034459, ENSMUSG00000074151, ENSMUSG00000037849, ENSMUSG00000041827, ENSMUSG00000032690, ENSMUSG00000029561, ENSMUSG00000025383, ENSMUSG00000023341, ENSMUSG00000026896, ENSMUSG00000029605, ENSMUSG00000062488, ENSMUSG00000049734, ENSMUSG00000026536, ENSMUSG00000000386, ENSMUSG00000040296, ENSMUSG00000025746, ENSMUSG00000040033, ENSMUSG00000017652, ENSMUSG00000066861, ENSMUSG00000043263, ENSMUSG00000039501, ENSMUSG00000074896, ENSMUSG00000073489, ENSMUSG00000054203, ENSMUSG00000017830	472	247	19984	8.227818568585741	1.232637164126029E-25	1.232637164126029E-25	1.184348285531401E-25
GOTERM_BP_DIRECT	GO:0002376~immune system process	65	12.014787430683919	2.080658488336858E-27	ENSMUSG00000003283, ENSMUSG00000044827, ENSMUSG00000028028, ENSMUSG00000059089, ENSMUSG00000054072, ENSMUSG00000044701, ENSMUSG00000021277, ENSMUSG00000029798, ENSMUSG00000022126, ENSMUSG00000105504, ENSMUSG00000030748, ENSMUSG00000033538, ENSMUSG00000039236, ENSMUSG00000028270, ENSMUSG00000019987, ENSMUSG00000034422, ENSMUSG00000032688, ENSMUSG00000070327, ENSMUSG00000034459, ENSMUSG00000026390, ENSMUSG00000074151, ENSMUSG00000026672, ENSMUSG00000041827, ENSMUSG00000025383, ENSMUSG00000055172, ENSMUSG00000046879, ENSMUSG00000027646, ENSMUSG00000042677, ENSMUSG00000040296, ENSMUSG00000017652, ENSMUSG00000039501, ENSMUSG00000038179, ENSMUSG00000037321, ENSMUSG00000015316, ENSMUSG00000011008, ENSMUSG00000031652, ENSMUSG00000032661, ENSMUSG00000026984, ENSMUSG00000025498, ENSMUSG00000027995, ENSMUSG00000027951, ENSMUSG00000049502, ENSMUSG00000026822, ENSMUSG00000027514, ENSMUSG00000020641, ENSMUSG00000045932, ENSMUSG00000090231, ENSMUSG00000047798, ENSMUSG00000016496, ENSMUSG00000104713, ENSMUSG00000022906, ENSMUSG00000016498, ENSMUSG00000036986, ENSMUSG00000026770, ENSMUSG00000029561, ENSMUSG00000032690, ENSMUSG00000026896, ENSMUSG00000028633, ENSMUSG00000041481, ENSMUSG00000074896, ENSMUSG00000033307, ENSMUSG00000073489, ENSMUSG00000017830, ENSMUSG00000031722, ENSMUSG00000053338	472	532	19984	5.172996049445648	6.054716201060256E-24	3.027358100530128E-24	2.9087605666949272E-24
GOTERM_BP_DIRECT	GO:0035458~cellular response to interferon-beta	27	4.990757855822551	6.157861055275198E-26	ENSMUSG00000026104, ENSMUSG00000054072, ENSMUSG00000066677, ENSMUSG00000028268, ENSMUSG00000022126, ENSMUSG00000070501, ENSMUSG00000104713, ENSMUSG00000072244, ENSMUSG00000052776, ENSMUSG00000078922, ENSMUSG00000078920, ENSMUSG00000078921, ENSMUSG00000073555, ENSMUSG00000028270, ENSMUSG00000034459, ENSMUSG00000037849, ENSMUSG00000078853, ENSMUSG00000068606, ENSMUSG00000046879, ENSMUSG00000049734, ENSMUSG00000026536, ENSMUSG00000069874, ENSMUSG00000066861, ENSMUSG00000043263, ENSMUSG00000074896, ENSMUSG00000073489, ENSMUSG00000054203	472	64	19984	17.861758474576273	1.7919375670850825E-22	5.973125223616942E-23	5.739126503516484E-23
GOTERM_BP_DIRECT	GO:0045071~negative regulation of viral genome replication	25	4.621072088724584	2.863336319591462E-24	ENSMUSG00000031652, ENSMUSG00000032661, ENSMUSG00000063268, ENSMUSG00000066677, ENSMUSG00000065968, ENSMUSG00000020641, ENSMUSG00000070501, ENSMUSG00000072244, ENSMUSG00000035692, ENSMUSG00000052776, ENSMUSG00000039236, ENSMUSG00000037849, ENSMUSG00000041827, ENSMUSG00000032690, ENSMUSG00000029561, ENSMUSG00000023341, ENSMUSG00000026896, ENSMUSG00000029605, ENSMUSG00000026536, ENSMUSG00000035042, ENSMUSG00000066861, ENSMUSG00000043263, ENSMUSG00000039501, ENSMUSG00000073489, ENSMUSG00000054203	472	58	19984	18.24956165984804	8.332308690011154E-21	2.0830771725027885E-21	2.0014720873944318E-21
GOTERM_BP_DIRECT	GO:0045087~innate immune response	65	12.014787430683919	3.3725793920764033E-21	ENSMUSG00000003283, ENSMUSG00000044827, ENSMUSG00000028028, ENSMUSG00000054072, ENSMUSG00000044701, ENSMUSG00000021277, ENSMUSG00000029798, ENSMUSG00000022126, ENSMUSG00000052776, ENSMUSG00000078921, ENSMUSG00000033538, ENSMUSG00000039236, ENSMUSG00000019987, ENSMUSG00000034422, ENSMUSG00000032688, ENSMUSG00000034459, ENSMUSG00000026390, ENSMUSG00000074151, ENSMUSG00000026672, ENSMUSG00000041827, ENSMUSG00000025383, ENSMUSG00000055172, ENSMUSG00000049734, ENSMUSG00000046879, ENSMUSG00000027646, ENSMUSG00000000386, ENSMUSG00000040296, ENSMUSG00000052749, ENSMUSG00000066861, ENSMUSG00000039501, ENSMUSG00000037124, ENSMUSG00000038179, ENSMUSG00000015316, ENSMUSG00000011008, ENSMUSG00000031652, ENSMUSG00000032661, ENSMUSG00000026984, ENSMUSG00000025498, ENSMUSG00000027995, ENSMUSG00000027951, ENSMUSG00000049502, ENSMUSG00000026822, ENSMUSG00000027514, ENSMUSG00000020641, ENSMUSG00000045932, ENSMUSG00000090231, ENSMUSG00000072244, ENSMUSG00000022906, ENSMUSG00000030966, ENSMUSG00000030921, ENSMUSG00000036986, ENSMUSG00000078853, ENSMUSG00000029561, ENSMUSG00000032690, ENSMUSG00000026896, ENSMUSG00000023341, ENSMUSG00000002983, ENSMUSG00000029605, ENSMUSG00000069874, ENSMUSG00000074896, ENSMUSG00000033307, ENSMUSG00000073489, ENSMUSG00000017830, ENSMUSG00000078616, ENSMUSG00000053338	472	691	19984	3.9826829208467216	9.814206030942334E-18	1.9628412061884668E-18	1.8859463960491247E-18
GOTERM_BP_DIRECT	GO:0009615~response to virus	26	4.805914972273567	3.6779792346827934E-19	ENSMUSG00000032661, ENSMUSG00000027951, ENSMUSG00000065968, ENSMUSG00000026822, ENSMUSG00000020641, ENSMUSG00000045932, ENSMUSG00000020227, ENSMUSG00000035692, ENSMUSG00000052776, ENSMUSG00000078922, ENSMUSG00000039236, ENSMUSG00000053175, ENSMUSG00000034459, ENSMUSG00000041827, ENSMUSG00000032690, ENSMUSG00000029561, ENSMUSG00000023341, ENSMUSG00000026896, ENSMUSG00000029605, ENSMUSG00000062488, ENSMUSG00000027646, ENSMUSG00000000386, ENSMUSG00000040296, ENSMUSG00000066861, ENSMUSG00000074896, ENSMUSG00000017830	472	99	19984	11.119328882040746	1.0702919572926928E-15	1.7838199288211548E-16	1.7139383233621816E-16
GOTERM_BP_DIRECT	GO:0009617~response to bacterium	40	7.393715341959335	1.1138577696837709E-18	ENSMUSG00000033213, ENSMUSG00000030022, ENSMUSG00000021091, ENSMUSG00000027995, ENSMUSG00000026104, ENSMUSG00000029417, ENSMUSG00000028028, ENSMUSG00000054072, ENSMUSG00000044701, ENSMUSG00000029798, ENSMUSG00000026822, ENSMUSG00000022126, ENSMUSG00000040026, ENSMUSG00000062515, ENSMUSG00000090231, ENSMUSG00000072620, ENSMUSG00000104713, ENSMUSG00000105504, ENSMUSG00000035692, ENSMUSG00000020826, ENSMUSG00000078922, ENSMUSG00000030921, ENSMUSG00000030107, ENSMUSG00000028270, ENSMUSG00000034855, ENSMUSG00000034459, ENSMUSG00000031762, ENSMUSG00000074151, ENSMUSG00000032690, ENSMUSG00000023341, ENSMUSG00000046879, ENSMUSG00000026536, ENSMUSG00000069874, ENSMUSG00000066363, ENSMUSG00000074896, ENSMUSG00000074115, ENSMUSG00000073489, ENSMUSG00000054203, ENSMUSG00000017830, ENSMUSG00000031722	472	291	19984	5.819791484652572	3.2413261097797734E-15	4.630465871113962E-16	4.449066177194033E-16
GOTERM_BP_DIRECT	GO:0042832~defense response to protozoan	17	3.1423290203327174	2.5472353268240494E-16	ENSMUSG00000004296, ENSMUSG00000053175, ENSMUSG00000079363, ENSMUSG00000027776, ENSMUSG00000054072, ENSMUSG00000028268, ENSMUSG00000079362, ENSMUSG00000069874, ENSMUSG00000000869, ENSMUSG00000025746, ENSMUSG00000017652, ENSMUSG00000104713, ENSMUSG00000030748, ENSMUSG00000039699, ENSMUSG00000034266, ENSMUSG00000028270, ENSMUSG00000019987	472	40	19984	17.99406779661017	6.461498003318411E-13	9.26556850132248E-14	8.902587467250052E-14
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	42	7.763401109057301	1.6680413616908194E-15	ENSMUSG00000026580, ENSMUSG00000032487, ENSMUSG00000003283, ENSMUSG00000027398, ENSMUSG00000026166, ENSMUSG00000048376, ENSMUSG00000026984, ENSMUSG00000044827, ENSMUSG00000027995, ENSMUSG00000029417, ENSMUSG00000020383, ENSMUSG00000026981, ENSMUSG00000029379, ENSMUSG00000044701, ENSMUSG00000022126, ENSMUSG00000004698, ENSMUSG00000020400, ENSMUSG00000045551, ENSMUSG00000105504, ENSMUSG00000035352, ENSMUSG00000020826, ENSMUSG00000031778, ENSMUSG00000029380, ENSMUSG00000033538, ENSMUSG00000031779, ENSMUSG00000019842, ENSMUSG00000034855, ENSMUSG00000061878, ENSMUSG00000031780, ENSMUSG00000050440, ENSMUSG00000026770, ENSMUSG00000025383, ENSMUSG00000002983, ENSMUSG00000049734, ENSMUSG00000042677, ENSMUSG00000020676, ENSMUSG00000025746, ENSMUSG00000017652, ENSMUSG00000060183, ENSMUSG00000035042, ENSMUSG00000033307, ENSMUSG00000037944	472	395	19984	4.501866552242007	4.846123502488808E-12	5.393333736133649E-13	5.182048496986146E-13
GOTERM_BP_DIRECT	GO:0071346~cellular response to interferon-gamma	22	4.066543438077634	1.3897981525911553E-13	ENSMUSG00000004296, ENSMUSG00000079363, ENSMUSG00000031780, ENSMUSG00000026166, ENSMUSG00000026104, ENSMUSG00000027995, ENSMUSG00000028268, ENSMUSG00000079362, ENSMUSG00000046879, ENSMUSG00000022126, ENSMUSG00000021367, ENSMUSG00000020676, ENSMUSG00000045664, ENSMUSG00000104713, ENSMUSG00000105504, ENSMUSG00000002307, ENSMUSG00000035042, ENSMUSG00000035352, ENSMUSG00000020826, ENSMUSG00000031778, ENSMUSG00000031779, ENSMUSG00000028270	472	111	19984	8.391510154222019	4.0448977500773253E-10	4.044312624040262E-11	3.8858756346448703E-11
